,UKAll16_64,UKFemale16_64,UKMale16_64
1971,4.2,3.6,5.1
1972,4.4,3.9,5.1
1973,3.7,2.9,4.8
1974,3.7,3,4.7
1975,4.5,4.1,5.2
1976,5.4,5.1,5.9
1977,5.6,5.2,6.2
1978,5.6,5.1,6.3
1979,5.4,4.8,6.3
1980,6.9,6.7,7.2
1981,9.8,10.4,8.9
1982,10.9,11.7,9.6
1983,11.6,12.3,10.6
1984,11.9,12,11.7
1985,11.4,11.7,11.1
1986,11.4,11.8,11
1987,10.5,10.9,10.1
1988,8.6,8.8,8.4
1989,7.2,7.3,7.1
1990,7.2,7.4,6.8
1991,8.9,9.9,7.5
1992,10.1,11.9,7.7
1993,10.5,12.4,8
1994,9.6,11.3,7.4
1995,8.7,10.1,6.9
1996,8.2,9.6,6.4
1997,7,7.9,6
1998,6.3,7,5.5
1999,6,6.7,5.3
2000,5.6,6,4.9
2001,5.1,5.7,4.5
2002,5.2,5.8,4.6
2003,5.1,5.6,4.4
2004,4.8,5.2,4.4
2005,4.9,5.3,4.4
2006,5.5,5.8,5.1
2007,5.4,5.7,5.1
2008,5.8,6.2,5.2
2009,7.8,8.7,6.6
2010,8,8.8,7.1
2011,8.3,8.9,7.5
2012,8.1,8.6,7.6
2013,7.8,8.2,7.3
2014,6.3,6.6,6.1
2015,5.5,5.7,5.3
2016,5,5.2,4.8
2017,4.5,4.7,4.4
